strain,sex,id,bw,center_time,center_dist,periphery_time,periphery_dist,periphery_dist_pct,activity,lean,rear,jump,defec,groom_freq,groom_dur,groom_bout,task_time_d1,task_time_d2,task_time_d3,task_time_d4,task_time_d5,num_arms_d1,num_arms_d2,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_adj_d3,num_arms_adj_d4,num_arms_adj_d5,num_arms_adj_d3_d5,errors_d1,errors_d2,errors_d3,errors_d4,errors_d5,errors_d3_d5,visit_time_d3,visit_time_d4,visit_time_d5,visit_time_d3_d5,latency_d1,latency_d2,attack_d1,attack_d2,attack_combine,brain_wt,brain_wt_pct,hippocampus_L,hippocampus_R,iipmf_L,iipmf_R,iipmf_pct_L,iipmf_pct_R,iipmf_pct_mean,hilus_L,hilus_R,hilus_pct_L,hilus_pct_R,hilus_pct_mean,supra_L,supra_R,supra_pct_L,supra_pct_R,supra_pct_mean,pyr_L,pyr_R,pyr_pct_L,pyr_pct_R,pyr_pct_mean,oriens_L,oriens_R,oriens_pct_L,oriens_pct_R,oriens_pct_mean,rad_L,rad_R,rad_pct_L,rad_pct_R,rad_pct_mean,lacun_L,lacun_R,lacun_pct_L,lacun_pct_R,lacun_pct_mean
BXD101,m,3647,25.20,33,4303,67,6728,60.99,11031,169,93,4,4,43,10.72,0.2493,466,299,174,132,399,6,5,7,5,5,1.700,-0.3000,-0.3000,0.3667,5,8,2,4,11,17,17.40,11,21,16.47,308,19,1,1,1,,,1652146.6,1660563.8,22506.8,26436,1.362,1.592,1.477,128100,139349.4,7.754,8.392,8.073,164801.6,178920.6,9.975,10.77,10.37,267000.4,259958.6,16.16,15.65,15.91,572096.8,570975.8,34.63,34.38,34.51,419427.4,428478,25.39,25.80,25.59,100720.4,82881.4,6.096,4.991,5.544
BXD101,m,3648,26.20,36,3197,64,5399,62.81,8596,164,139,3,0,40,13.60,0.3400,167,177,171,183,159,6,6,6,6,4,0.7000,0.7000,-1.300,0.03333,5,8,4,8,8,20,14.25,11.44,9.938,11.88,264,17,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD102,f,5391,28,34,5369,66,7006,56.61,12375,92,59,4,0,2,12.40,6.200,558,242,146,292,383,5,4,7,5,6,1.700,-0.3000,0.7000,0.7000,20,12,3,10,11,24,13.27,16.22,20.16,16.55,,,,,,0.4200,1.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD102,f,5392,24,37,7345,63,7534,50.64,14879,86,62,14,0,4,21.76,5.440,245,120,245,289,497,4,6,6,5,4,0.7000,-0.3000,-1.300,-0.3000,8,3,7,12,15,34,16.33,14.45,21.61,17.46,,,,,,0.4300,1.792,1224407.4,1225486.6,31190,19509.8,2.547,1.592,2.070,139135.2,122699,11.36,10.01,10.69,140001.4,103675.8,11.43,8.460,9.947,205112.2,197482.2,16.75,16.11,16.43,318896.8,368773.2,26.04,30.09,28.07,333280.4,344570.4,27.22,28.12,27.67,87981.4,88286,7.186,7.204,7.195
BXD102,f,5393,22.60,34,7928,66,9207,53.73,17135,77,42,1,0,3,10,3.333,441,197,119,169,214,4,7,7,7,5,1.700,1.700,-0.3000,1.033,6,4,1,4,6,11,13.22,14.08,15.29,14.20,,,,,,0.4100,1.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD102,f,5394,25,36,8315,64,8122,49.41,16437,103,46,11,0,0,0,0,672,282,474,170,240,7,5,4,5,5,-1.300,-0.3000,-0.3000,-0.6333,25,6,15,7,8,30,20.61,11.33,15,15.65,,,,,,0.4300,1.720,1513183.4,1603204.2,66422,68246,4.390,4.257,4.323,212484.6,246452.2,14.04,15.37,14.71,190112.4,209897.4,12.56,13.09,12.83,272278.4,265939.4,17.99,16.59,17.29,342506.8,373251.8,22.63,23.28,22.96,388595.8,399536.6,25.68,24.92,25.30,107205.4,108126.8,7.085,6.744,6.915
BXD102,f,5471,21.90,29,6060,71,8918,59.54,14978,83,68,4,5,2,12.88,6.440,545,99,479,388,172,6,7,5,5,6,-0.3000,-0.3000,0.7000,0.03333,7,1,14,6,2,22,21.77,27.71,17.20,22.23,,,,,,0.3700,1.689,1169540.8,1218879.8,23143.2,27564.4,1.979,2.261,2.120,124950.4,142372.6,10.68,11.68,11.18,108593.4,115223,9.285,9.453,9.369,183328.6,189261,15.68,15.53,15.60,373203.4,393047,31.91,32.25,32.08,304708.8,311580.6,26.05,25.56,25.81,74756.2,67395.6,6.392,5.529,5.961
BXD102,f,5472,20.80,37,6799,63,8784,56.37,15583,72,66,3,0,4,17.36,4.340,346,1014,1188,381,193,6,6,4,5,7,-1.300,-0.3000,1.700,0.03333,7,7,11,9,1,21,62.53,22.41,21.44,35.46,,,,,,0.4200,2.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD102,f,5473,22.60,30,5202,70,10314,66.47,15516,82,24,1,0,3,12.80,4.267,402,277,188,195,95,3,6,7,5,7,1.700,-0.3000,1.700,1.033,9,8,1,5,1,7,20.89,15,10.56,15.48,,,,,,0.4200,1.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD102,f,5474,21.10,27,6110,73,12021,66.30,18131,80,34,2,0,1,6.240,6.240,432,198,173,188,129,3,5,4,5,5,-1.300,-0.3000,-0.3000,-0.6333,19,9,6,8,5,19,12.36,11.75,9.923,11.34,,,,,,0.3900,1.848,1197847.8,1307904.6,41788.8,33671.2,3.489,2.574,3.032,139951.8,145583.6,11.68,11.13,11.41,143352.2,127976.8,11.97,9.785,10.88,201630.8,199105,16.83,15.22,16.03,357612.6,390230.4,29.85,29.84,29.85,275573.6,352758.6,23.01,26.97,24.99,79726.8,92250.2,6.656,7.053,6.855
BXD102,f,5940,25.70,32,5964,68,9119,60.46,15083,51,19,6,0,3,13.60,4.533,432,330,76,152,127,7,5,7,5,5,1.700,-0.3000,-0.3000,0.3667,21,27,1,13,7,21,8.444,7.238,8.467,8.050,,,,,,0.4500,1.751,1746612.4,1736462.8,27549.6,22948.4,1.577,1.322,1.449,170798.6,152910.2,9.779,8.806,9.292,154481.2,150082.8,8.845,8.643,8.744,255520.2,242743.6,14.63,13.98,14.30,603469.6,621943.4,34.55,35.82,35.18,445134,449599.4,25.49,25.89,25.69,117208.8,119183.4,6.711,6.864,6.787
BXD102,f,5941,23.80,29,6866,71,9978,59.24,16844,60,31,8,0,4,12.72,3.180,387,268,254,131,132,4,4,5,6,5,-0.3000,0.7000,-0.3000,0.03333,8,15,14,6,6,26,11.55,9.357,9.429,10.11,,,,,,0.4200,1.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD102,m,3671,30.30,26,5144,74,8335,61.84,13479,119,56,6,2,6,4.400,0.7333,322,241,307,332,149,6,6,5,5,6,-0.3000,-0.3000,0.7000,0.03333,7,2,5,9,4,18,23.62,19.53,12.42,18.52,600,600,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD102,m,3672,27.30,33,5511,67,8845,61.61,14356,103,43,12,5,1,0.2400,0.2400,223,159,277,1800,135,4,5,4,4,7,-1.300,-1.300,1.700,-0.3000,5,3,9,1,2,12,16.29,200,13.50,76.60,221,600,1,0,1,,,1284688.6,1250659.2,16280.2,35283.2,1.267,2.821,2.044,102267.8,133418.6,7.961,10.67,9.314,104143.2,118724.4,8.106,9.493,8.800,175172.6,174702.6,13.64,13.97,13.80,492154.8,411964,38.31,32.94,35.62,341678,337002.2,26.60,26.95,26.77,69272.2,74847.4,5.392,5.985,5.688
